tipo_metrica,detector,umbral,escenario,delta_sigma,arl0,arl0_ic_low,arl0_ic_high,arl0_censurados,arl0_n_streams,arl1,arl1_ic_low,arl1_ic_high,arl1_censurados,arl1_n_streams,arl1_excluidos_pre_tau
auc,3-sigma,,deriva,2.0,95.395,93.01408562140698,97.77591437859301,184,200,26.533333333333335,24.76662302768624,28.30004363898043,8,195,5
auc,3-sigma,,deriva,3.0,95.395,93.01408562140698,97.77591437859301,184,200,17.322916666666668,16.48165146652946,18.164181866803876,0,192,8
auc,3-sigma,,salto,0.5,95.395,93.01408562140698,97.77591437859301,184,200,53.40837696335078,51.37671635787786,55.440037568823705,146,191,9
auc,3-sigma,,salto,1.0,95.395,93.01408562140698,97.77591437859301,184,200,41.149484536082475,38.130350097269314,44.16861897489564,87,194,6
auc,3-sigma,,salto,1.5,95.395,93.01408562140698,97.77591437859301,184,200,24.552083333333332,21.76850587479595,27.335660791870716,25,192,8
auc,3-sigma,,salto,2.0,95.395,93.01408562140698,97.77591437859301,184,200,13.592783505154639,11.81629886409226,15.369268146217017,2,194,6
auc,3-sigma,,salto,3.0,95.395,93.01408562140698,97.77591437859301,184,200,4.0932642487046635,3.428995223461717,4.75753327394761,0,193,7
psi,CUSUM,1.7421875,cambio_varianza,0.5,20.79,18.06061616333664,23.51938383666336,4,200,2.7,2.112,3.2880000000000003,0,30,170
psi,CUSUM,1.7421875,cambio_varianza,1.0,20.79,18.06061616333664,23.51938383666336,4,200,2.088235294117647,1.6553295275272781,2.5211410607080165,0,34,166
psi,CUSUM,1.7421875,cambio_varianza,1.5,20.79,18.06061616333664,23.51938383666336,4,200,1.6285714285714286,1.4146819573898088,1.8424608997530483,0,35,165
psi,CUSUM,1.7421875,cambio_varianza,2.0,20.79,18.06061616333664,23.51938383666336,4,200,1.3243243243243243,1.1535829007775005,1.4950657478711482,0,37,163
psi,CUSUM,1.7421875,cambio_varianza,3.0,20.79,18.06061616333664,23.51938383666336,4,200,1.0555555555555556,0.9466666666666667,1.1644444444444444,0,18,182
psi,CUSUM,1.7421875,deriva,0.5,20.79,18.06061616333664,23.51938383666336,4,200,8.392857142857142,6.208852157107847,10.576862128606438,0,28,172
psi,CUSUM,1.7421875,deriva,1.0,20.79,18.06061616333664,23.51938383666336,4,200,3.8484848484848486,2.8316075275819,4.865362169387797,0,33,167
psi,CUSUM,1.7421875,deriva,1.5,20.79,18.06061616333664,23.51938383666336,4,200,2.739130434782609,2.0289338622204887,3.449327007344729,0,23,177
